Country,OBJECTID *,GHI,WindCF,VariableCostWind,FixedCostWind,VariableCostPV,FixedCostPV,VariableCostSOMG,FixedCostSOMG,VariableCostPV4h,FixedCostPV4h,VariableCostPV8h,FixedCostPV8h,OperationalLifeWind,OperationalLifePV,OperationalLifeSOMG,OperationalLifePV4h,OperationalLifePV8h,Diesel_transport
Kenya,72,0.191147159,0.272508269,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177765959
Kenya,73,0.191270863,0.280429277,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179326571
Kenya,74,0.191447606,0.293483391,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177658545
Kenya,75,0.188308538,0.132776013,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.174070461
Kenya,76,0.188786224,0.15419136,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.175078694
Kenya,77,0.18883989,0.183939925,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179894013
Kenya,78,0.188618286,0.226033545,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177302285
Kenya,79,0.19025224,0.281812396,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17792412
Kenya,80,0.192164037,0.350043472,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181529915
Kenya,81,0.191743269,0.387848768,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179037224
Kenya,82,0.191514124,0.416314504,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178791523
Kenya,83,0.192082292,0.401090883,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177001848
Kenya,84,0.191407519,0.374585139,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180051244
Kenya,85,0.189448288,0.335744717,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.185481456
Kenya,86,0.189151292,0.311467085,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178998212
Kenya,87,0.189501324,0.294345138,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178211747
Kenya,88,0.189931002,0.288363749,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179939407
Kenya,89,0.190214878,0.28421466,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177775347
Kenya,90,0.190070987,0.280718796,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181726
Kenya,91,0.189936651,0.281438544,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178775483
Kenya,92,0.187953425,0.120124133,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179335005
Kenya,93,0.188203188,0.127531149,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.174169052
Kenya,94,0.187768974,0.138923659,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.174231406
Kenya,95,0.186815323,0.157846432,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17496529
Kenya,96,0.1897648,0.212364061,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180484438
Kenya,97,0.193464252,0.292102576,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179654905
Kenya,98,0.193079286,0.335659907,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182419418
Kenya,99,0.192664501,0.375339699,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17972433
Kenya,100,0.192619291,0.377186183,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177067391
Kenya,101,0.191738703,0.366095909,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181827791
Kenya,102,0.190018423,0.340572171,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180537044
Kenya,103,0.189484416,0.324633084,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179372172
